,title,genres,overview,production_companies,original_language,status,averageRating,numVotes,combined_features,index
783,the great muppet caper,"[{'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.","[{'name': 'Incorporated Television Company (ITC)', 'id': 15980}, {'name': 'Henson Associates (HA)', 'id': 24931}]",en,Released,7.2,13452.0,the great muppet caper crime family comedy crime family comedy kermit and fozzie are newspaper reporters sent to london to interview lady holay a wealthy fashion designer whose priceless diamond necklace is stolen kermit meets and falls in love with her secretary miss piggy the jewel thieves strike again and this time frame miss piggy its up to kermit and muppets to bring the real culprits to justice incorporated television company (itc) henson associates (ha) en en en,783
784,a night to remember,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]","The sinking of the Titanic is presented in a highly realistic fashion in this tense British drama. The disaster is portrayed largely from the perspective of the ocean liner's second officer, Charles Lightoller. Despite numerous warnings about ice, the ship sails on, with Capt. Edward John Smith keeping it going at a steady clip. When the doomed vessel finally hits an iceberg, the crew and passengers discover that they lack enough lifeboats, and tragedy follows.","[{'name': 'The Rank Organisation', 'id': 364}]",en,Released,7.9,13283.0,a night to remember drama action history drama action history the sinking of the titanic is presented in a highly realistic fashion in this tense british drama the disaster is portrayed largely from the perspective of the ocean liners second officer charles lightoller despite numerous warnings about ice the ship sails on with capt edward john smith keeping it going at a steady clip when the doomed vessel finally hits an iceberg the crew and passengers discover that they lack enough lifeboats and tragedy follows the rank organisation en en en,784
785,erin brockovich,"[{'id': 18, 'name': 'Drama'}]","A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.","[{'name': 'Jersey Films', 'id': 216}]",en,Released,7.3,171164.0,erin brockovich drama drama a twice-divorced mother of three who sees an injustice takes on the bad guy and wins with a little help from her push-up bra erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town she starts investigating and soon exposes a monumental cover-up jersey films en en en,785
786,the bear,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",An orphan bear cub hooks up with an adult male as they try to dodge human hunters.,"[{'name': 'Renn Productions', 'id': 82}, {'name': 'Price', 'id': 1121}]",en,Released,7.7,16273.0,the bear adventure drama family adventure drama family an orphan bear cub hooks up with an adult male as they try to dodge human hunters renn productions price en en en,786
787,mirror,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","[{'name': 'Mosfilm', 'id': 5120}]",ru,Released,8.1,38316.0,mirror drama history drama history a dying man in his forties remembers his past his childhood his mother the war personal moments and things that tell of the recent history of all the russian nation mosfilm ru ru ru,787
788,thelma & louise,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 12, 'name': 'Adventure'}]","Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.","[{'name': 'Pathé Entertainment', 'id': 841}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Star Partners III Ltd.', 'id': 21854}]",en,Released,7.5,133348.0,thelma & louise drama thriller crime adventure drama thriller crime adventure whilst on a short weekend getaway louise shoots a man who had tried to rape thelma due to the incriminating circumstances they make a run for it and thus a cross country chase ensues for the two fugitives along the way both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times pathé entertainment metro-goldwyn-mayer (mgm) star partners iii ltd en en en,788
789,...and justice for all,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","An ethical Baltimore defense lawyer disgusted with rampant legal corruption is asked to defend a judge he despises in a rape trial. But if he doesn't do it, the judge will have him disbarred.","[{'name': 'Columbia Pictures Corporation', 'id': 441}]",en,Released,7.4,30193.0,and justice for all crime drama mystery thriller crime drama mystery thriller an ethical baltimore defense lawyer disgusted with rampant legal corruption is asked to defend a judge he despises in a rape trial but if he doesnt do it the judge will have him disbarred columbia pictures corporation en en en,789
790,animal house,"[{'id': 35, 'name': 'Comedy'}]","At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Oregon Film Factory', 'id': 13298}, {'name': 'Stage III Productions', 'id': 13300}]",en,Released,7.5,110222.0,animal house comedy comedy at a college dean vernon wormer is determined to expel the entire delta tau chi fraternity but those troublemakers have other plans for him universal pictures oregon film factory stage iii productions en en en,790
791,do the right thing,"[{'id': 18, 'name': 'Drama'}]","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.","[{'name': 'Universal Pictures', 'id': 33}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}]",en,Released,8.0,86621.0,do the right thing drama drama on the hottest day of the year on a street in the bedford-stuyvesant section of brooklyn everyones hate and bigotry smolders and builds until it explodes into violence universal pictures acres & a mule filmworks en en en,791
792,double indemnity,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","Unsuspecting Mr. Dietrichson becomes increasingly accident prone after his icily calculating wife encourages him to sign a double indemnity policy proposed by a smooth-talking insurance agent. Against a backdrop of distinctly California settings, the partners in crime plan the perfect murder to collect the insurance. Perfect until a claims manager gets a familiar feeling of foul play and pursues the matter relentlessly.","[{'name': 'Paramount Pictures', 'id': 4}]",en,Released,8.3,140133.0,double indemnity drama mystery thriller drama mystery thriller unsuspecting mr dietrichson becomes increasingly accent prone after his icily calculating wife encourages him to sign a double indemnity policy proposed by a smooth-talking insurance agent against a backdrop of distinctly california settings the partners in crime plan the perfect murder to collect the insurance perfect until a claims manager gets a familiar feeling of foul play and pursues the matter relentlessly paramount pictures en en en,792
793,"good morning, vietnam","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]","Radio funny man Adrian Cronauer is sent to Vietnam to bring a little comedy back into the lives of the soldiers. After setting up shop, Cronauer delights the G.I.s but shocks his superior officer, Sergeant Major Dickerson, with his irreverent take on the war. While Dickerson attempts to censor Cronauer's broadcasts, Cronauer pursues a relationship with a Vietnamese girl named Trinh, who shows him the horrors of war first-hand.","[{'name': 'Silver Screen Partners III', 'id': 554}, {'name': 'Touchstone Pictures', 'id': 9195}]",en,Released,7.3,123865.0,good morning vietnam comedy drama war comedy drama war radio funny man adrian cronauer is sent to vietnam to bring a little comedy back into the lives of the soldiers after setting up shop cronauer delights the gis but shocks his superior officer sergeant major dickerson with his irreverent take on the war while dickerson attempts to censor cronauers broadcasts cronauer pursues a relationship with a vietnamese girl named trinh who shows him the horrors of war first-hand silver screen partners iii touchstone pictures en en en,793
794,guess who's coming to dinner,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Matt and Christina Drayton are a couple whose attitudes are challenged when their daughter brings home a fiancé who is black.,"[{'name': 'Stanley Kramer Productions', 'id': 893}]",en,Released,7.8,38495.0,guess whos coming to dinner comedy drama romance comedy drama romance matt and christina drayton are a couple whose attitudes are challenged when their daughter brings home a fiancé who is black stanley kramer productions en en en,794
795,modern times,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"[{'name': 'United Artists', 'id': 60}, {'name': 'Charles Chaplin Productions', 'id': 1315}]",en,Released,8.5,212145.0,modern times drama comedy drama comedy the tramp struggles to live in modern industrial society with the help of a young homeless woman united artists charles chaplin productions en en en,795
796,hud,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]","Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the consequences. There is bitter conflict between the callous Hud and his stern and highly principled father, Homer. Hud's nephew Lon admires Hud's cheating ways, though he soon becomes too aware of Hud's reckless amorality to bear him anymore. In the world of the takers and the taken, Hud is a winner. He's a cheat, but, he explains, ""I always say the law was meant to be interpreted in a lenient manner.""","[{'name': 'Paramount Pictures', 'id': 4}]",en,Released,7.8,19128.0,"hud action drama western action drama western hud bannon is a ruthless young man who tarnishes everything and everyone he touches hud represents the perfect embodiment of alienated youth out for kicks with no regard for the consequences there is bitter conflict between the callous hud and his stern and highly principled father homer huds nephew lon admires huds cheating ways though he soon becomes too aware of huds reckless amorality to bear him anymore in the world of the takers and the taken hud is a winner hes a cheat but he explains ""i always say the law was meant to be interpreted in a lenient manner"" paramount pictures en en en",796
797,the hustler,"[{'id': 18, 'name': 'Drama'}]",Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Rossen Films', 'id': 22820}]",en,Released,8.0,74128.0,the hustler drama drama fast eddie felson is a small-time pool hustler with a lot of talent but a self-destructive attitude his bravado causes him to challenge the legendary minnesota fats to a high-stakes match twentieth century fox film corporation rossen films en en en,797
798,inherit the wind,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",This gripping adaptation of the Jerome Lawrence-Robert E. Lee play examines an issue that still causes great controversy: the role religion should play in the schools.,"[{'name': 'Stanley Kramer Productions', 'id': 893}]",en,Released,8.1,26750.0,inherit the wind drama history drama history this gripping adaptation of the jerome lawrence-robert e lee play examines an issue that still causes great controversy the role religion should play in the schools stanley kramer productions en en en,798
799,dersu uzala,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]","A military explorer meets and befriends a Goldi man in Russia’s unmapped forests. A deep and abiding bond evolves between the two men, one civilized in the usual sense, the other at home in the glacial Siberian woods.","[{'name': 'Daiei Studios', 'id': 881}, {'name': 'Mosfilm', 'id': 5120}, {'name': 'Atelier 41', 'id': 6091}]",ru,Released,8.3,23074.0,dersu uzala action adventure drama action adventure drama a military explorer meets and befriends a goldi man in russia’s unmapped forests a deep and abing bond evolves between the two men one civilized in the usual sense the other at home in the glacial siberian woods daiei studios mosfilm atelier ru ru ru,799
800,close encounters of the third kind,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]","After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.","[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'EMI Films', 'id': 8263}, {'name': 'Julia Phillips and Michael Phillips Productions', 'id': 11458}]",en,Released,7.6,181052.0,close encounters of the third kind science fiction drama science fiction drama after an encounter with ufos a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen columbia pictures corporation emi films julia phillips and michael phillips productions en en en,800
801,a place in the sun,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",An ambitious young man wins an heiress's heart but has to cope with his former girlfriend's pregnancy.,"[{'name': 'Paramount Pictures', 'id': 4}]",en,Released,7.8,19682.0,a place in the sun drama romance drama romance an ambitious young man wins an heiresss heart but has to cope with his former girlfriends pregnancy paramount pictures en en en,801
802,jacob's ladder,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",A traumatized Vietnam war veteran finds out that his post-war life isn't what he believes it to be when he's attacked by horned creatures in the subway and his dead son comes to visit him...,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Carolco Pictures', 'id': 14723}]",en,Released,7.5,96983.0,jacobs ladder drama mystery horror drama mystery horror a traumatized vietnam war veteran finds out that his post-war life isnt what he believes it to be when hes attacked by horned creatures in the subway and his dead son comes to visit him tristar pictures carolco pictures en en en,802
803,high fidelity,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]","When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.","[{'name': 'Buena Vista', 'id': 32}, {'name': 'Touchstone Pictures', 'id': 9195}]",en,Released,7.5,165839.0,high felity comedy drama romance music comedy drama romance music when record store owner rob gordon gets dumped by his girlfriend laura because he hasnt changed since they met he revisits his top five breakups of all time in an attempt to figure out what went wrong as rob seeks out his former lovers to find out why they left he keeps up his efforts to win laura back buena vista touchstone pictures en en en,803
804,el dorado,"[{'id': 37, 'name': 'Western'}]","Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water.","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Laurel Productions', 'id': 10697}]",en,Released,7.6,23727.0,el dorado western western cole thornton a gunfighter for hire joins forces with an old friend sheriff jp hara together with an old indian fighter and a gambler they help a rancher and his family fight a rival rancher that is trying to steal their water paramount pictures laurel productions en en en,804
805,true grit,"[{'id': 37, 'name': 'Western'}]","The murder of her father sends a teenage tomboy, Mattie Ross (Kim Darby), on a mission of ""justice"", which involves avenging her father's death. She recruits a tough old marshal, ""Rooster"" Cogburn (John Wayne), because he has ""grit"", and a reputation of getting the job done. The two are joined by a Texas Ranger, La Boeuf (Glen Campbell), who is looking for the same man (Jeff Corey) for a separate murder in Texas. Their odyssey takes them from Fort Smith, Arkansas, deep into the Indian Territory (present day Oklahoma) to find their man.","[{'name': 'Paramount Pictures', 'id': 4}]",en,Released,7.4,41657.0,"true grit western western the murder of her father sends a teenage tomboy mattie ross (kim darby) on a mission of ""justice"" which involves avenging her fathers death she recruits a tough old marshal ""rooster"" cogburn (john wayne) because he has ""grit"" and a reputation of getting the job done the two are joined by a texas ranger la boeuf (glen campbell) who is looking for the same man (jeff corey) for a separate murder in texas their odyssey takes them from fort smith arkansas deep into the indian territory (present day oklahoma) to find their man paramount pictures en en en",805
806,midnight express,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","Billy Hayes is caught attempting to smuggle drugs out of Turkey. The Turkish courts decide to make an example of him, sentencing him to more than 30 years in prison. Hayes has two opportunities for release: the appeals made by his lawyer, his family, and the American government, or the ""Midnight Express"".","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Casablanca Filmworks', 'id': 15058}]",en,Released,7.6,72282.0,"mnight express drama crime drama crime billy hayes is caught attempting to smuggle drugs out of turkey the turkish courts dece to make an example of him sentencing him to more than years in prison hayes has two opportunities for release the appeals made by his lawyer his family and the american government or the ""mnight express"" columbia pictures casablanca filmworks en en en",806
807,misery,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Nelson Entertainment', 'id': 365}]",en,Released,7.8,179878.0,"misery drama thriller drama thriller novelist paul sheldon crashes his car on a snowy colorado road he is found by annie wilkes the ""number one fan"" of pauls heroine misery chastaine annie is also somewhat unstable and paul finds himself crippled drugged and at her mercy columbia pictures castle rock entertainment nelson entertainment en en en",807
808,solaris,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]","Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. Based on the novel by the same name from Polish author Stanislaw Lem.","[{'name': 'Mosfilm', 'id': 5120}, {'name': 'Creative Unit of Writers & Cinema Workers', 'id': 77882}, {'name': 'Unit Four', 'id': 77883}]",ru,Released,8.1,78562.0,solaris drama science fiction adventure mystery drama science fiction adventure mystery ground control has been receiving strange transmissions from the three remaining resents of the solaris space station when cosmonaut and psychologist kris kelvin is sent to investigate he experiences the strange phenomena that afflict the solaris crew sending him on a voyage into the darkest recesses of his own consciousness based on the novel by the same name from polish author stanislaw lem mosfilm creative unit of writers & cinema workers unit four ru ru ru,808
809,network,"[{'id': 18, 'name': 'Drama'}]",A TV network cynically exploits a deranged ex-TV anchor's ravings and revelations about the media for their own profit.,"[{'name': 'United Artists', 'id': 60}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",en,Released,8.1,142305.0,network drama drama a tv network cynically exploits a deranged ex-tv anchors ravings and revelations about the media for their own profit united artists metro-goldwyn-mayer (mgm) en en en,809
810,no way out,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Navy Lt. Tom Farrell meets a young woman, Susan Atwell , and they share a passionate fling. Farrell then finds out that his superior, Defense Secretary David Brice, is also romantically involved with Atwell. When the young woman turns up dead, Farrell is put in charge of the murder investigation. He begins to uncover shocking clues about the case, but when details of his encounter with Susan surface, he becomes a suspect as well.","[{'name': 'Orion Pictures', 'id': 41}]",en,Released,7.1,34632.0,no way out action drama thriller action drama thriller navy lt tom farrell meets a young woman susan atwell and they share a passionate fling farrell then finds out that his superior defense secretary dav brice is also romantically involved with atwell when the young woman turns up dead farrell is put in charge of the murder investigation he begins to uncover shocking clues about the case but when details of his encounter with susan surface he becomes a suspect as well orion pictures en en en,810
811,the odd couple,"[{'id': 35, 'name': 'Comedy'}]","Felix Ungar has just broken up with his wife. Despondent, he goes to kill himself but is saved by his friend Oscar Madison. With nowhere else to go, Felix is urged by Oscar to move in with him, at least for a while. The only problem is that Felix is neat, tidy, and neurotic, whereas Oscar is slovenly and casual.","[{'name': 'Paramount Pictures', 'id': 4}]",en,Released,7.7,30965.0,the odd couple comedy comedy felix ungar has just broken up with his wife despondent he goes to kill himself but is saved by his friend oscar madison with nowhere else to go felix is urged by oscar to move in with him at least for a while the only problem is that felix is neat ty and neurotic whereas oscar is slovenly and casual paramount pictures en en en,811
812,the outlaw josey wales,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]","After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.","[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Malpaso Company', 'id': 15298}]",en,Released,7.8,64289.0,the outlaw josey wales drama western drama western after avenging his familys brutal murder wales is pursued by a pack of soldiers he prefers to travel alone but ragtag outcasts are drawn to him - and wales cant bring himself to leave them unprotected warner bros malpaso company en en en,812
813,frequency,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.","[{'name': 'New Line Cinema', 'id': 12}]",en,Released,7.3,99676.0,frequency crime drama science fiction thriller crime drama science fiction thriller when a rare phenomenon gives police officer john sullivan the chance to speak to his father years in the past he takes the opportunity to prevent his dads tragic death after his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time new line cinema en en en,813
814,mystery train,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Three stories are connected by a Memphis hotel and the spirit of Elvis Presley.,"[{'name': 'JVC Entertainment Networks', 'id': 4248}, {'name': 'Mystery Train', 'id': 60620}]",en,Released,7.6,25035.0,mystery train crime drama comedy crime drama comedy three stories are connected by a memphis hotel and the spirit of elvis presley jvc entertainment networks mystery train en en en,814
815,predator,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]","Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Lawrence Gordon Productions', 'id': 840}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Amercent Films', 'id': 5263}, {'name': 'American Entertainment Partners L.P.', 'id': 5264}]",en,Released,7.8,365494.0,predator science fiction action adventure thriller science fiction action adventure thriller dutch and his group of commandos are hired by the cia to rescue downed airmen from guerillas in a central american jungle the mission goes well but as they return they find that something is hunting them nearly invisible it blends in with the forest taking trophies from the bodies of its victims as it goes along occasionally seeing through its eyes the audience sees it is an intelligent alien hunter hunting them for sport killing them off one at a time twentieth century fox film corporation lawrence gordon productions davis entertainment silver pictures amercent films american entertainment partners lp en en en,815
816,american psycho,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Edward R. Pressman Film', 'id': 6455}, {'name': 'Muse Productions', 'id': 15231}]",en,Released,7.6,475613.0,american psycho thriller drama crime thriller drama crime a wealthy new york investment banking executive hes his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical gratuitous fantasies lions gate films edward r pressman film muse productions en en en,816
817,diner,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Set in 1959, Diner shows how five young men resist their adulthood and seek refuge in their beloved Diner. The mundane, childish, and titillating details of their lives are shared. But the golden moments pass, and the men shoulder their responsibilities, leaving the Diner behind.","[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",en,Released,7.1,18279.0,diner comedy drama comedy drama set in diner shows how five young men resist their adulthood and seek refuge in their beloved diner the mundane childish and titillating details of their lives are shared but the golden moments pass and the men shoulder their responsibilities leaving the diner behind metro-goldwyn-mayer (mgm) en en en,817
818,cabaret,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]","Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force.","[{'name': 'ABC Pictures', 'id': 634}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Allied Artists Pictures', 'id': 4928}]",en,Released,7.8,47402.0,cabaret drama music romance drama music romance inse the kit kat club of berlin starry-eyed singer sally bowles and an impish emcee sound the clarion call to decadent fun while outse a certain political party grows into a brutal force abc pictures bavaria film allied artists pictures en en en,818
819,what ever happened to baby jane?,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Two aging film actresses live as virtual recluses in an old Hollywood mansion. Jane Hudson, a successful child star, cares for her crippled sister Blanche, whose career in later years eclipsed that of Jane. Now the two live together, their relationship affected by simmering subconscious thoughts of mutual envy, hate and revenge.","[{'name': 'Seven Arts Productions', 'id': 516}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Associates & Aldrich Company, The', 'id': 19754}]",en,Released,8.1,48917.0,what ever happened to baby jane? drama horror thriller drama horror thriller two aging film actresses live as virtual recluses in an old hollywood mansion jane hudson a successful child star cares for her crippled sister blanche whose career in later years eclipsed that of jane now the two live together their relationship affected by simmering subconscious thoughts of mutual envy hate and revenge seven arts productions warner bros associates & aldrich company the en en en,819
820,auntie mame,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Ten-year-old orphan Patrick Dennis has come to live with his nearest relative and in the high times ahead, he's not going to believe his luck. Nor will you, because Patrick's relation is played by one of Hollywood's grandest dames. Reprising her Broadway triumph, Rosalind Russell won her fourth Oscar nomination and third Golden Globe Award as the marvelous madcap who lives life to the hilt.  Auntie Mame brings to bubbly life the mayhem Mame and her cronies create while guiding Patrick's fortunes. ""Life is a banquet,"" Mame says, ""and most poor suckers are starving to death!"" With wit, style and a seasoned cast to dish humor and heart with gusto, Auntie Mame is a full-course meal of entertainment magic.","[{'name': 'Warner Bros.', 'id': 6194}]",en,Released,7.9,10173.0,"auntie mame comedy drama comedy drama ten-year-old orphan patrick dennis has come to live with his nearest relative and in the high times ahead hes not going to believe his luck nor will you because patricks relation is played by one of hollywoods grandest dames reprising her broadway triumph rosalind russell won her fourth oscar nomination and third golden globe award as the marvelous madcap who lives life to the hilt auntie mame brings to bubbly life the mayhem mame and her cronies create while guing patricks fortunes ""life is a banquet"" mame says ""and most poor suckers are starving to death!"" with wit style and a seasoned cast to dish humor and heart with gusto auntie mame is a full-course meal of entertainment magic warner bros en en en",820
821,guys and dolls,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]","In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game.","[{'name': 'Samuel Goldwyn Company, The', 'id': 28205}]",en,Released,7.2,15301.0,guys and dolls comedy music romance comedy music romance in new york a gambler is challenged to take a cold female missionary to havana but they fall for each other and the bet has a hden motive to finance a crap game samuel goldwyn company the en en en,821
822,marathon man,"[{'id': 53, 'name': 'Thriller'}]","A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.","[{'name': 'Paramount Pictures', 'id': 4}]",en,Released,7.4,57022.0,marathon man thriller thriller a graduate student and obsessive runner in new york is drawn into a mysterious plot involving his brother a member of the secretive division paramount pictures en en en,822
823,caddyshack,"[{'id': 35, 'name': 'Comedy'}]","At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors.","[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Warner Bros.', 'id': 6194}]",en,Released,7.3,103229.0,caddyshack comedy comedy at an exclusive country club an ambitious young caddy danny noonan eagerly pursues a caddy scholarship in hopes of attending college and in turn avoing a job at the lumber yard in order to succeed he must first win the favour of the elitist judge smails and then the caddy golf tournament which smails sponsors orion pictures warner bros en en en,823
