Index,Id,Title,Year,Rated,Runtime,Director,Writer,Actors,Plot,imdbRating,imdbVotes
1669,2108,L.A. Story,1991,PG-13,95 min,Mick Jackson,Steve Martin,"Steve Martin, Victoria Tennant, Richard E. Grant, Marilu Henner","With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.",6.7,26348
1670,2109,The Jerk,1979,R,94 min,Carl Reiner,"Steve Martin (screenplay), Carl Gottlieb (screenplay), Michael Elias (screenplay), Steve Martin (story), Carl Gottlieb (story)","Steve Martin, Bernadette Peters, Catlin Adams, Mabel King",An idiotic man struggles to make it through life on his own in St. Louis.,7.2,45752
1671,2110,Dead Men Don't Wear Plaid,1982,PG,88 min,Carl Reiner,"Carl Reiner, George Gipe, Steve Martin","Steve Martin, Rachel Ward, Alan Ladd, Carl Reiner",Film noir parody with a detective uncovering a sinister plot. Characters from real noirs appear as scenes from various films are intercut.,6.8,17787
1672,2111,The Man with Two Brains,1983,R,93 min,Carl Reiner,"George Gipe, Steve Martin, Carl Reiner","Steve Martin, Kathleen Turner, David Warner, Paul Benedict","A brain surgeon marries a femme fatale, causing his life to turn upside down. Things go more awry when he falls in love with a talking brain.",6.4,20987
1673,2112,Grand Canyon,1991,R,134 min,Lawrence Kasdan,"Lawrence Kasdan, Meg Kasdan","Danny Glover, Kevin Kline, Steve Martin, Mary McDonnell",Grand Canyon revolved around six residents from different backgrounds whose lives intertwine in modern-day Los Angeles. At the center of the film is the unlikely friendship of two men from ...,6.9,13290
1674,2113,Graveyard Shift,1990,R,89 min,Ralph S. Singleton,"Stephen King (short story), John Esposito (screenplay)","David Andrews, Kelly Wolf, Stephen Macht, Andrew Divoff","In a very old textile mill with a serious rat infestation, the workers discover a horrifying secret deep in the basement.",4.8,7650
1675,2114,The Outsiders,1983,PG,91 min,Francis Ford Coppola,"Kathleen Rowell (screenplay), S.E. Hinton (novel)","C. Thomas Howell, Matt Dillon, Ralph Macchio, Patrick Swayze","The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.",7.2,61971
1676,2115,Indiana Jones and the Temple of Doom,1984,PG,118 min,Steven Spielberg,"Willard Huyck (screenplay by), Gloria Katz (screenplay by), George Lucas (story by)","Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees, and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",7.6,363799
1677,2116,The Lord of the Rings,1978,PG,132 min,Ralph Bakshi,"Chris Conkling (screenplay), Peter S. Beagle (screenplay), J.R.R. Tolkien (novels)","Christopher Guard, William Squire, Michael Scholes, John Hurt",The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,6.2,25825
1678,2117,1984,1984,R,113 min,Michael Radford,"George Orwell (novel), Michael Radford","John Hurt, Richard Burton, Suzanna Hamilton, Cyril Cusack","In a totalitarian future society, a man, whose daily work is re-writing history, tries to rebel by falling in love.",7.2,54383
1679,2118,The Dead Zone,1983,R,103 min,David Cronenberg,"Jeffrey Boam (screenplay), Stephen King (novel)","Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom",A man awakens from a coma to discover he has a psychic ability.,7.2,49501
1680,2119,Maximum Overdrive,1986,R,98 min,Stephen King,"Stephen King (film by), Stephen King (written for the screen by)","Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",A group of people try to survive when machines start to come alive and become homicidal.,5.4,25209
1681,2120,Needful Things,1993,R,120 min,Fraser C. Heston,"Stephen King (book), W.D. Richter (screenplay)","Max von Sydow, Ed Harris, Bonnie Bedelia, Amanda Plummer","A mysterious new shop opens in a small town which always seems to stock the deepest desires of each shopper, with a price far heavier than expected.",6.2,18398
1682,2121,Cujo,1983,R,93 min,Lewis Teague,"Stephen King (novel), Don Carlos Dunaway, Lauren Currier","Dee Wallace, Danny Pintauro, Daniel Hugh Kelly, Christopher Stone","Cujo, a friendly St. Bernard, contracts rabies and conducts a reign of terror on a small American town.",6,30421
1683,2122,Children of the Corn,1984,R,92 min,Fritz Kiersch,"Stephen King (short story), George Goldsmith (screenplay)","Peter Horton, Linda Hamilton, R.G. Armstrong, John Franklin",A young couple is trapped in a remote town where a dangerous religious cult of children believe everyone over the age of 18 must be killed.,5.6,38414
1684,2123,All Dogs Go to Heaven,1989,G,84 min,"Don Bluth, Gary Goldman(co-director), Dan Kuenster(co-director)","Don Bluth (story), Ken Cromar (story), Gary Goldman (story), Larry Leker (story), Linda Miller (story), Monica Parker (story), John Pomeroy (story), Guy Shulman (story), David J. Steinberg (story), David N. Weiss (story), David N. Weiss (screenplay)","Burt Reynolds, Dom DeLuise, Judith Barsi, Melba Moore",A dog returns from the dead looking for revenge on his killer using an orphan girl who can talk to animals.,6.7,29304
1685,2124,The Addams Family,1991,PG-13,99 min,Barry Sonnenfeld,"Charles Addams (characters), Caroline Thompson, Larry Wilson","Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya",Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,6.8,104956
1686,2125,Ever After: A Cinderella Story,1998,PG-13,121 min,Andy Tennant,"Susannah Grant (screenplay), Andy Tennant (screenplay), Rick Parks (screenplay)","Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey","The ""real"" story of Cinderella. A refreshing new take on the classic fairy tale.",7,61269
1687,2126,Snake Eyes,1998,R,98 min,Brian De Palma,"Brian De Palma (story), David Koepp (story), David Koepp (screenplay)","Nicolas Cage, Gary Sinise, John Heard, Carla Gugino",A shady police detective finds himself in the middle of a murder conspiracy at an important boxing match in an Atlantic City casino.,6,67510
1688,2128,Safe Men,1998,R,88 min,John Hamburg,John Hamburg,"Sam Rockwell, Steve Zahn, Michael Lerner, Paul Giamatti","Two untalented singers are mistaken for a pair of major league safe crackers in Providence, Rhode Island. The two are pressed into service by the local hoodlums and quickly find themselves ...",6,2870
1689,2130,Atlantic City,1980,R,104 min,Louis Malle,John Guare,"Burt Lancaster, Susan Sarandon, Kate Reid, Michel Piccoli","In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs, and danger.",7.4,12229
1690,2131,Autumn Sonata,1978,PG,99 min,Ingmar Bergman,Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk","A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",8.3,17404
1691,2132,Who's Afraid of Virginia Woolf?,1966,TV-MA,131 min,Mike Nichols,Ernest Lehman (screenplay),"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis","A bitter, aging couple, with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other.",8.1,59843
1692,2133,Adventures in Babysitting,1987,PG-13,102 min,Chris Columbus,David Simkins,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp",A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,6.9,30954
1693,2134,Weird Science,1985,PG-13,94 min,John Hughes,John Hughes,"Anthony Michael Hall, Kelly LeBrock, Ilan Mitchell-Smith, Bill Paxton","Two high school nerds attempt to create the perfect woman, but she turns out to be more than that.",6.6,65658
1694,2135,Doctor Dolittle,1967,APPROVED,152 min,Richard Fleischer,"Hugh Lofting (novels), Leslie Bricusse (screenplay)","Rex Harrison, Samantha Eggar, Anthony Newley, Richard Attenborough","After the animal communicating veterinarian goes too far for his clientèle, he and his friends escape their hometown to sea in search of the Great Pink Sea Snail.",6.2,6791
1695,2136,The Nutty Professor,1963,APPROVED,107 min,Jerry Lewis,"Jerry Lewis, Bill Richmond","Jerry Lewis, Stella Stevens, Del Moore, Kathleen Freeman","To improve his social life, a nerdish professor drinks a potion that temporarily turns him into the handsome, but obnoxious, Buddy Love.",6.7,13136
1696,2137,Charlotte's Web,1973,G,94 min,"Charles A. Nichols, Iwao Takamoto","E.B. White (book), Earl Hamner Jr. (story)","Debbie Reynolds, Paul Lynde, Henry Gibson, Rex Allen",A gentle and wise grey spider with a flair for promotion pledges to save a young pig from slaughter for dinner food.,6.9,14419
1697,2138,Watership Down,1978,PG,91 min,Martin Rosen,"Richard Adams (novel), Martin Rosen","John Hurt, Richard Briers, Michael Graham Cox, John Bennett",A group of rabbits flee their doomed warren and face many dangers to find and protect their new home.,7.7,27583
1698,2139,The Secret of NIMH,1982,G,82 min,Don Bluth,"Robert C. O'Brien (novel), Don Bluth (story adaptation), John Pomeroy (story adaptation), Gary Goldman (story adaptation), Will Finn (story adaptation)","Derek Jacobi, Elizabeth Hartman, Arthur Malet, Dom DeLuise","To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she ever suspected.",7.6,30064
1699,2140,The Dark Crystal,1982,PG,93 min,"Jim Henson, Frank Oz","David Odell (screenplay), Jim Henson (story)","Jim Henson, Kathryn Mullen, Frank Oz, Dave Goelz","On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and so restore order to his world.",7.2,45355
1700,2141,An American Tail,1986,G,80 min,Don Bluth,"Judy Freudberg (screenplay), Tony Geiss (screenplay), David Kirschner (story), Judy Freudberg (story), Tony Geiss (story)","Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser","While emigrating to the United States, a young Russian mouse gets separated from his family and must relocate them while trying to survive in a new country.",6.9,41140
1701,2142,An American Tail: Fievel Goes West,1991,G,75 min,"Phil Nibbelink, Simon Wells","Flint Dille (screenplay), Charles Swenson (story), David Kirschner (creator)","Phillip Glasser, James Stewart, Erica Yohn, Cathy Cavadini","A family of Emigre mice decide to move out to the west, unaware that they are falling into a trap perpetrated by a smooth talking cat.",6.5,19034
1702,2143,Legend,1985,PG,89 min,Ridley Scott,William Hjortsberg,"Tom Cruise, Mia Sara, Tim Curry, David Bennent",A young man must stop the Lord of Darkness from both destroying daylight and marrying the woman he loves.,6.5,49850
1703,2144,Sixteen Candles,1984,PG,93 min,John Hughes,John Hughes,"Molly Ringwald, Justin Henry, Michael Schoeffling, Haviland Morris","A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.",7.2,82865
1704,2145,Pretty in Pink,1986,PG-13,96 min,Howard Deutch,John Hughes,"Molly Ringwald, Harry Dean Stanton, Jon Cryer, Annie Potts",A poor girl must choose between the affections of her doting childhood sweetheart and a rich but sensitive playboy.,6.8,60793
1705,2146,St. Elmo's Fire,1985,R,110 min,Joel Schumacher,"Joel Schumacher, Carl Kurlander","Emilio Estevez, Rob Lowe, Andrew McCarthy, Demi Moore","A group of friends, just out of college, struggle with adulthood.",6.4,29893
1706,2147,The Clan of the Cave Bear,1986,R,98 min,Michael Chapman,"Jean M. Auel (novel), John Sayles (screenplay)","Daryl Hannah, Pamela Reed, James Remar, Thomas G. Waites",A young Cro-Magnon woman is raised by Neanderthals.,5.3,5347
1707,2148,House,1985,R,93 min,Steve Miner,"Fred Dekker (story), Ethan Wiley (screenplay)","William Katt, George Wendt, Richard Moll, Kay Lenz",A troubled writer moves into a haunted house after inheriting it from his aunt.,6.2,18738
1708,2149,House II: The Second Story,1987,PG-13,88 min,Ethan Wiley,"Fred Dekker (inspired by an original story by), Ethan Wiley","Arye Gross, Jonathan Stark, Royal Dano, Bill Maher",The new owner of a sinister house gets involved with reanimated corpses and demons searching for an ancient Aztec skull with magic powers.,5.4,8328
1709,2150,The Gods Must Be Crazy,1980,PG,109 min,Jamie Uys,Jamie Uys,"Marius Weyers, Sandra Prinsloo, N!xau, Louw Verwey","A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",7.3,46110
1710,2151,The Gods Must Be Crazy II,1989,PG,98 min,Jamie Uys,Jamie Uys (written and devised by),"N!xau, Lena Farugia, Hans Strydom, Eiros","Xixo is back again. This time, his children accidentally stow away on a fast-moving poachers' truck, unable to get off, and Xixo sets out to rescue them. Along the way, he encounters a ...",6.8,13848
1711,2152,Air Bud: Golden Receiver,1998,G,90 min,Richard Martin,"Kevin DiCicco (character ""Air Bud""), Paul Tamasy (characters), Aaron Mendelsohn (characters), Paul Tamasy, Aaron Mendelsohn","Tim Conway, Dick Martin, Kevin Zegers, Cynthia Stevenson",Story of a golden retriever who can play football.,4.5,4558
1712,2153,The Avengers,1998,PG-13,89 min,Jeremiah S. Chechik,"Sydney Newman (television series The Avengers), Don MacPherson","Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee",Two British agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,3.7,36898
1713,2154,How Stella Got Her Groove Back,1998,R,124 min,Kevin Rodney Sullivan,"Terry McMillan (novel), Terry McMillan (screenplay), Ronald Bass (screenplay)","Angela Bassett, Taye Diggs, Whoopi Goldberg, Regina King","Stella is a highly successful, forty-something San Francisco stock broker who is persuaded by her colorful New York girlfriend Delilah to take a well deserved, first-class vacation to ...",5.6,5811
1714,2155,Slums of Beverly Hills,1998,R,91 min,Tamara Jenkins,Tamara Jenkins,"Natasha Lyonne, Alan Arkin, Bryna Weiss, Marisa Tomei","In 1976, a lower-middle-class teenager struggles to cope living with her neurotic family of nomads on the outskirts of Beverly Hills.",6.6,10109
1715,2159,Henry: Portrait of a Serial Killer,1986,UNRATED,83 min,John McNaughton,"Richard Fire, John McNaughton","Mary Demas, Michael Rooker, Anne Bartoletti, Elizabeth Kaden","Henry, a drifter, commits a series of brutal murders, supposedly operating with impunity.",7,25441
1716,2160,Rosemary's Baby,1968,R,137 min,Roman Polanski,"Ira Levin (novel), Roman Polanski (screenplay)","Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer","A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.",8,153184
1717,2161,The NeverEnding Story,1984,PG,102 min,Wolfgang Petersen,"Wolfgang Petersen (screenplay), Herman Weigel (screenplay), Michael Ende (novel), Robert Easton (additional dialogue)","Barret Oliver, Gerald McRaney, Chris Eastman, Darryl Cooksey",A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,7.4,108692
1718,2162,The NeverEnding Story II: The Next Chapter,1990,PG,89 min,George Miller,"Karin Howard (screenplay), Michael Ende (based on the novel ""The Neverending Story"" by)","Jonathan Brandis, Kenny Morrison, Clarissa Burt, John Wesley Shipp",A young boy with a distant father enters a world of make-believe and magic through a portal within an antique book.,5.1,19790
1719,2163,Attack of the Killer Tomatoes!,1978,PG,83 min,John De Bello,"Costa Dillon, John De Bello, J. Stephen Peace","David Miller, George Wilson, Sharon Taylor, J. Stephen Peace",A group of scientists band together to save the world from mutated killer tomatoes.,4.6,10427
1720,2164,Surf Nazis Must Die,1987,R,83 min,Peter George,"Jon Ayre (screenplay), Peter George (original story), Jon Ayre (original story)","Gail Neely, Robert Harden, Barry Brenner, Dawn Wildsmith","When the son of a gun-wielding woman is murdered by neo-Nazi surf punks in the post-apocalyptic future, his Mama hunts them down for some bloodthirsty revenge.",3.5,4316
1721,2165,Your Friends & Neighbors,1998,R,100 min,Neil LaBute,Neil LaBute,"Amy Brenneman, Aaron Eckhart, Catherine Keener, Nastassja Kinski",Unhappy couples fall apart and hop into other beds with other people.,6.4,7225
1722,2166,Return to Paradise,1998,R,111 min,Joseph Ruben,"Pierre Jolivet (motion picture Force Majeure), Olivier Schatzky (motion picture Force Majeure), Wesley Strick (screenplay), Bruce Robinson (screenplay)","Vince Vaughn, Anne Heche, Joaquin Phoenix, David Conrad",Two friends must choose whether to help a third friend who was arrested in Malaysia for drug possession.,6.9,12164
1723,2167,Blade,1998,R,120 min,Stephen Norrington,David S. Goyer,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",7.1,207875
1724,2168,Dance with Me,1998,PG,126 min,Randa Haines,Daryl Matthews,"Vanessa Williams, Chayanne, Kris Kristofferson, Joan Plowright","Young Cuban Rafael just buried his mother, and comes to Houston to meet his father John for the first time. The difficult part is that John doesn't know he is Rafael's father. John runs a ...",5.8,5146
1725,2169,Dead Man on Campus,1998,R,96 min,Alan Cohn,"Anthony Abrams (story), Adam Larson Broder (story), Michael Traeger (screenplay), Mike White (screenplay)","Tom Everett Scott, Mark-Paul Gosselaar, Poppy Montgomery, Lochlyn Munro","Two college roommates go out and party, resulting in bad grades. They learn of the clause that says, ""If your roommate dies, you get an A,"" and decide to find someone who is on the verge, so to speak, to move in with them.",6.1,12299
1726,2170,Wrongfully Accused,1998,PG-13,87 min,Pat Proft,Pat Proft,"Leslie Nielsen, Richard Crenna, Kelly LeBrock, Melinda McGraw","Ryan Harrison is framed for murder and must prove himself innocent by finding a mysterious one-eyed, one-armed, one-legged man after escaping from a bus accident on the way to jail.",6.1,19882
1727,2171,Next Stop Wonderland,1998,R,104 min,Brad Anderson,"Brad Anderson, Lyn Vaus","Hope Davis, Philip Seymour Hoffman, Callie Thorne, Ken Cheeseman","An unlucky in love nurse finds her life taking a detour when her mother places a personals ad in the paper, while on the other side of Boston, a plumber is trying to change careers.",6.7,4307
1728,2173,The Navigator: A Medieval Odyssey,1988,PG,90 min,Vincent Ward,"Geoff Chapple (screenplay), Kely Lyons (screenplay), Vincent Ward (from an original idea by), Vincent Ward (screenplay)","Bruce Lyons, Chris Haywood, Hamish McFarlane, Marshall Napier","Men seeking relief from the Black Death, guided by a boy's vision, dig a tunnel from 14th century England to 20th century New Zealand.",7,2667
1729,2174,Beetlejuice,1988,PG,92 min,Tim Burton,"Michael McDowell (story), Larry Wilson (story), Michael McDowell (screenplay), Warren Skaaren (screenplay)","Alec Baldwin, Geena Davis, Annie McEnroe, Maurice Page","When a recently-deceased ghost couple find their now-vacant home invaded by an obnoxious family, they hire a sleazy ghost who gets rid of humans to help them.",7.5,209106
1730,2176,Rope,1948,APPROVED,80 min,Alfred Hitchcock,"Hume Cronyn (adapted by), Patrick Hamilton (from the play by), Arthur Laurents (screenplay)","Dick Hogan, John Dall, Farley Granger, Edith Evanson","Two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime.",8,104733
1731,2177,Family Plot,1976,PG,120 min,Alfred Hitchcock,"Ernest Lehman (screenplay), Victor Canning (novel)","Karen Black, Bruce Dern, Barbara Harris, William Devane",A phony psychic/con artist and her taxi driver/private investigator boyfriend encounter a pair of serial kidnappers while trailing a missing heir in California.,6.8,16837
1732,2178,Frenzy,1972,R,116 min,Alfred Hitchcock,"Arthur La Bern (novel), Anthony Shaffer (screenplay)","Jon Finch, Barry Foster, Barbara Leigh-Hunt, Anna Massey","A serial murderer is strangling women with a necktie. The London police have a suspect, but he is the wrong man.",7.5,33879
1733,2180,Torn Curtain,1966,APPROVED,128 min,Alfred Hitchcock,Brian Moore,"Paul Newman, Julie Andrews, Lila Kedrova, Hansjörg Felmy",An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin before planning an escape back to the West.,6.7,20419
1734,2181,Marnie,1964,APPROVED,130 min,Alfred Hitchcock,"Winston Graham (from the novel by), Jay Presson Allen (screenplay)","Tippi Hedren, Martin Gabel, Sean Connery, Louise Latham","Mark marries Marnie although she is a habitual thief and has serious psychological problems, and tries to help her confront and resolve them.",7.2,36974
1735,2182,The Wrong Man,1956,NOT RATED,105 min,Alfred Hitchcock,"Maxwell Anderson (screen play), Angus MacPhail (screen play), Maxwell Anderson (story)","Henry Fonda, Vera Miles, Anthony Quayle, Harold J. Stone","In 1953, an innocent man named Christopher Emmanuel ""Manny"" Balestrero is arrested after being mistaken for an armed robber.",7.5,20759
1736,2183,The Man Who Knew Too Much,1956,APPROVED,120 min,Alfred Hitchcock,"John Michael Hayes (screenplay), Charles Bennett (based on a story by), D.B. Wyndham-Lewis (based on a story by)","James Stewart, Doris Day, Brenda de Banzie, Bernard Miles",A family vacationing in Morocco accidentally stumble on to an assassination plot and the conspirators are determined to prevent them from interfering.,7.5,46560
1737,2184,The Trouble with Harry,1955,APPROVED,99 min,Alfred Hitchcock,"John Michael Hayes (screenplay), Jack Trevor Story (based on the novel by)","Edmund Gwenn, John Forsythe, Mildred Natwick, Mildred Dunnock","The trouble with Harry is that he's dead, and everyone seems to have a different idea of what needs to be done with his body...",7.2,27295
1738,2186,Strangers on a Train,1951,PG,101 min,Alfred Hitchcock,"Raymond Chandler (screen play), Czenzi Ormonde (screen play), Whitfield Cook (adaptation), Patricia Highsmith (from the novel by)","Farley Granger, Ruth Roman, Robert Walker, Leo G. Carroll",A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder - a theory that he plans to implement.,8,105905
1739,2187,Stage Fright,1950,APPROVED,110 min,Alfred Hitchcock,"Whitfield Cook (screen play), Alma Reville (adaptation), Selwyn Jepson (based on the novel ""Man Running"" by)","Jane Wyman, Marlene Dietrich, Michael Wilding, Richard Todd",A struggling actress tries to help a friend prove his innocence when he's accused of murdering the husband of a high society entertainer.,7.1,10315
1740,2188,54,1998,R,93 min,Mark Christopher,Mark Christopher,"Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers",The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,5.8,28874
1741,2189,I Married a Strange Person!,1997,R,75 min,Bill Plympton,"Bill Plympton, P.C. Vey","Charis Michelsen, Tom Larson, Richard Spore, Chris Cooke","A newlywed develops a strange lump on his neck that gives him the ability to transform people or objects at will. His wife is very upset. Meanwhile, the CEO of Smilecorp learns of this man ...",7,1514
1742,2190,Why Do Fools Fall in Love,1998,R,116 min,Gregory Nava,Tina Andrews,"Halle Berry, Vivica A. Fox, Lela Rochon, Larenz Tate","Three women each claim to be the widow of 1950s doo-wop singer Frankie Lymon, claiming legal rights to his estate.",6.3,3123
1743,2191,A Merry War,1997,PG-13,101 min,Robert Bierman,"George Orwell (novel), Alan Plater (screenplay)","Richard E. Grant, Helena Bonham Carter, Julian Wadham, Jim Carter","Gordon Comstock is a copywriter at an ad agency, and his girlfriend Rosemary is a designer. Gordon believes he is a genius, a marvelous poet and quits the ad agency, trying to live on his ...",6.4,1182
1744,2193,Willow,1988,PG,126 min,Ron Howard,"George Lucas (story by), Bob Dolman (screenplay by)","Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh",A reluctant dwarf must play a critical role in protecting a special baby from an evil queen.,7.3,86581
1745,2194,The Untouchables,1987,R,119 min,Brian De Palma,"Oscar Fraley (suggested by book), Eliot Ness (suggested by book), David Mamet","Kevin Costner, Sean Connery, Charles Martin Smith, Andy Garcia","Federal Agent Eliot Ness sets out to stop Al Capone; because of rampant corruption, he assembles a small, hand-picked team.",7.9,234974
1746,2195,Dirty Work,1998,PG-13,82 min,Bob Saget,"Frank Sebastiano, Norm MacDonald, Fred Wolf","Norm MacDonald, Jack Warden, Artie Lange, Traylor Howard",A loser finds success in the revenge-for-hire business.,6.4,20976
1747,2197,Firelight,1997,R,103 min,William Nicholson,William Nicholson,"Sophie Marceau, Stephen Dillane, Dominique Belcourt, Kevin Anderson","In 1838, lovely governess Elisabeth agrees to bear a child of anonymous English landowner, and he will in return pay her father's debt. At birth she, as agreed, gives up the child. Seven ...",7.3,3609
1748,2200,Under Capricorn,1949,APPROVED,117 min,Alfred Hitchcock,"John Colton (play), Margaret Linden (play), Helen Simpson (novel), Hume Cronyn (adaptation), James Bridie (screenplay)","Ingrid Bergman, Joseph Cotten, Michael Wilding, Margaret Leighton","A young gentleman goes to Australia where he reunites with his now married childhood sweetheart, only to find out she has become an alcoholic and harbors dark secrets.",6.2,5108
1749,2201,The Paradine Case,1947,APPROVED,125 min,Alfred Hitchcock,"Robert Hichens (from the novel by), Alma Reville (adaptation), David O. Selznick (screen play), James Bridie (treatment in consultation with)","Gregory Peck, Ann Todd, Charles Laughton, Charles Coburn",A happily married London barrister falls in love with the accused poisoner he is defending.,6.5,8214
1750,2202,Lifeboat,1944,APPROVED,97 min,Alfred Hitchcock,"John Steinbeck (by), Jo Swerling (screen play)","Tallulah Bankhead, William Bendix, Walter Slezak, Mary Anderson",Several survivors of a torpedoed ship find themselves in the same boat with one of the men who sunk it.,7.8,22245
1751,2203,Shadow of a Doubt,1943,APPROVED,108 min,Alfred Hitchcock,"Thornton Wilder (screenplay), Sally Benson (screenplay), Alma Reville (screenplay), Gordon McDonell (from an original story by)","Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers",A young woman discovers her visiting uncle may not be the man he seems to be.,8,49206
1752,2204,Saboteur,1942,APPROVED,109 min,Alfred Hitchcock,"Peter Viertel (original screen play), Joan Harrison (original screen play), Dorothy Parker (original screen play)","Priscilla Lane, Robert Cummings, Otto Kruger, Alan Baxter",Aircraft factory worker Barry Kane goes on the run across the United States when he is wrongly accused of starting a fire that killed his best friend.,7.2,19222
1753,2205,Mr. & Mrs. Smith,1941,APPROVED,95 min,Alfred Hitchcock,Norman Krasna (story and screenplay),"Carole Lombard, Robert Montgomery, Gene Raymond, Jack Carson",A couple who have been married for three years are horrified to learn that their marriage is not legally valid.,6.5,7872
1754,2206,Suspicion,1941,NOT RATED,99 min,Alfred Hitchcock,"Samson Raphaelson (screen play), Joan Harrison (screen play), Alma Reville (screen play), Anthony Berkeley (novel)","Cary Grant, Joan Fontaine, Cedric Hardwicke, Nigel Bruce","A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",7.4,25972
1755,2207,Jamaica Inn,1939,PASSED,98 min,Alfred Hitchcock,"Sidney Gilliat (screen play), Joan Harrison (screen play), Sidney Gilliat (dialogue), Alma Reville (continuity), J.B. Priestley (additional dialogue)","Charles Laughton, Horace Hodges, Maureen O'Hara, Hay Petrie","In Cornwall in 1819, a young woman discovers that she's living near a gang of criminals who arrange shipwrecks for profit.",6.3,7123
1756,2208,The Lady Vanishes,1938,NOT RATED,96 min,Alfred Hitchcock,"Ethel Lina White (based upon the story: ""The Wheel Spins"" by), Sidney Gilliat (screen play), Frank Launder (screen play)","Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty","While traveling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",7.9,38851
1757,2210,Sabotage,1936,APPROVED,76 min,Alfred Hitchcock,"Joseph Conrad (novel), Charles Bennett (screen play), Ian Hay (dialogue), Helen Simpson (dialogue), Alma Reville (continuity), E.V.H. Emmett (additional dialogue)","Sylvia Sidney, Oskar Homolka, Desmond Tester, John Loder","A Scotland Yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in London. But when the detective's cover is blown, the plot begins to unravel.",7.1,12082
1758,2212,The Man Who Knew Too Much,1934,APPROVED,75 min,Alfred Hitchcock,"Charles Bennett (by), D.B. Wyndham-Lewis (by), Edwin Greenwood (scenario), A.R. Rawlinson (scenario), Emlyn Williams (additional dialogue)","Leslie Banks, Edna Best, Peter Lorre, Frank Vosper","A man and his wife receive a clue to an imminent assassination attempt, only to learn that their daughter has been kidnapped to keep them quiet.",6.9,13612
1759,2214,Number 17,1932,TV-PG,66 min,Alfred Hitchcock,"Joseph Jefferson Farjeon, Joseph Jefferson Farjeon (play), Alma Reville (scenario), Alfred Hitchcock (scenario), Rodney Ackland (scenario)","Leon M. Lion, Anne Grey, John Stuart, Donald Calthrop","A gang of thieves gather at a safe house following a robbery, but a detective is on their trail.",5.8,3741
1760,2215,East of Shanghai,1931,NOT RATED,83 min,Alfred Hitchcock,"Dale Collins (novel), Alfred Hitchcock (adaptation), Alma Reville, Val Valentine","Henry Kendall, Joan Barry, Percy Marmont, Betty Amann","Believing that an unexpected inheritance will bring them happiness, a married couple instead finds their relationship strained to the breaking point.",5.9,3290
